Timestamp,Event
"June 17, 2021 08:42:15",a
"June 17, 2021 08:42:20",b
"June 17, 2021 08:42:21",b
"June 17, 2021 08:42:25",b
"June 17, 2021 08:42:30",b
"June 17, 2021 08:42:35",b
"June 17, 2021 08:42:36",b
"June 17, 2021 08:42:40",b
"June 17, 2021 08:42:41",b
"June 17, 2021 08:42:46",b
"June 17, 2021 08:42:48",b
"June 17, 2021 08:42:52",b
"June 17, 2021 08:42:56",b
"June 17, 2021 08:42:58",b
"June 17, 2021 08:43:03",b
"June 17, 2021 08:43:07",b
"June 17, 2021 08:43:09",b
"June 17, 2021 08:43:14",b
"June 17, 2021 08:43:17",b
"June 17, 2021 08:43:19",b
"June 17, 2021 08:43:21",b
"June 17, 2021 08:43:26",b
"June 17, 2021 08:43:31",b
"June 17, 2021 08:43:33",b
"June 17, 2021 08:43:34",b
"June 17, 2021 08:43:36",b
"June 17, 2021 08:43:41",b
"June 17, 2021 08:43:44",b
"June 17, 2021 08:43:45",b
"June 17, 2021 08:43:50",b
"June 17, 2021 08:43:51",b
"June 17, 2021 08:43:56",b
"June 17, 2021 08:43:57",b
"June 17, 2021 08:44:00",b
"June 17, 2021 08:44:03",b
"June 17, 2021 08:44:05",b
"June 17, 2021 08:44:07",b
"June 17, 2021 08:44:08",b
"June 17, 2021 08:44:13",b
"June 17, 2021 08:44:16",b
"June 17, 2021 08:44:21",b
"June 17, 2021 08:44:22",b
"June 17, 2021 08:44:25",b
"June 17, 2021 08:44:27",b
"June 17, 2021 08:44:31",b
"June 17, 2021 08:44:33",b
"June 17, 2021 08:44:35",b
"June 17, 2021 08:44:38",b
"June 17, 2021 08:44:39",b
"June 17, 2021 08:44:41",b
"June 17, 2021 08:44:45",b
"June 17, 2021 08:44:46",b
"June 17, 2021 08:44:51",b
"June 17, 2021 08:44:55",b
"June 17, 2021 08:44:59",b
"June 17, 2021 08:45:04",b
"June 17, 2021 08:45:07",c
"June 17, 2021 08:45:08",c
"June 17, 2021 08:45:11",c
"June 17, 2021 08:45:12",c
"June 17, 2021 08:45:15",c
"June 17, 2021 08:45:18",c
"June 17, 2021 08:45:20",c
"June 17, 2021 08:45:22",c
"June 17, 2021 08:45:24",c
"June 17, 2021 08:45:29",c
"June 17, 2021 08:45:33",c
"June 17, 2021 08:45:35",c
"June 17, 2021 08:45:39",c
"June 17, 2021 08:45:42",c
"June 17, 2021 08:45:43",c
"June 17, 2021 08:45:45",c
"June 17, 2021 08:45:47",c
"June 17, 2021 08:45:51",c
"June 17, 2021 08:45:54",c
"June 17, 2021 08:45:58",c
"June 17, 2021 08:46:00",c
"June 17, 2021 08:46:02",c
"June 17, 2021 08:46:05",c
"June 17, 2021 08:46:08",c
"June 17, 2021 08:46:11",c
"June 17, 2021 08:46:12",c
"June 17, 2021 08:46:15",c
"June 17, 2021 08:46:18",c
"June 17, 2021 08:46:22",c
"June 17, 2021 08:46:25",c
"June 17, 2021 08:46:30",c
"June 17, 2021 08:46:33",c
"June 17, 2021 08:46:35",c
"June 17, 2021 08:46:39",c
"June 17, 2021 08:46:44",c
"June 17, 2021 08:46:45",d
"June 17, 2021 08:46:49",a
"June 17, 2021 08:46:54",b
"June 17, 2021 08:46:55",b
"June 17, 2021 08:46:58",b
"June 17, 2021 08:46:59",b
"June 17, 2021 08:47:04",b
"June 17, 2021 08:47:05",b
"June 17, 2021 08:47:09",b
"June 17, 2021 08:47:14",b
"June 17, 2021 08:47:16",b
"June 17, 2021 08:47:17",b
"June 17, 2021 08:47:19",b
"June 17, 2021 08:47:22",b
"June 17, 2021 08:47:23",b
"June 17, 2021 08:47:24",b
"June 17, 2021 08:47:29",b
"June 17, 2021 08:47:31",b
"June 17, 2021 08:47:35",b
"June 17, 2021 08:47:36",b
"June 17, 2021 08:47:39",b
"June 17, 2021 08:47:40",b
"June 17, 2021 08:47:44",b
"June 17, 2021 08:47:49",b
"June 17, 2021 08:47:51",b
"June 17, 2021 08:47:56",b
